Palabra,Puntuacion,Word
funeral,-1,funeral
funerales,-1,funerals
furioso,-3,furious
furtivo,-1,sneaky
fútil,2,futile
galante,3,gallant
galantería,3,gallantry
galardonado,3,awarded
gallardamente,3,gallantly
gamberrismo,-2,hooliganism
gamberro,-2,hooligan
ganado,2,gained
ganador,4,winner
ganancia,2,gain
ganancias,2,gains
ganando,2,gaining
ganar,4,win
garantía,1,guarantee
gemía,-2,moaned
gemido,-2,moan
gemidos,-2,moaning
gemidos,-2,moans
generoso,2,generous
genial,3,genial
gilipollas,-4,dickhead
gilipollas,-3,douchebag
gilipollas,-4,shithead
gilipollas,-3,wanker
glamour,3,glamourous
gloria,2,glory
glorioso,2,glorious
golpe,-2,slam
golpeado,-1,struck
gorrón,-2,bummer
gracia,1,grace
gracias,2,thank
Gracias,2,thanks
gracioso,4,funny
grande,1,big
grandioso,3,grand
granizado,2,hailed
granizo,2,hail
gratificación,2,gratification
gratificante,2,rewarding
gratis,1,free
grave,-2,severe
greenwasher,-3,greenwasher
greenwashers,-3,greenwashers
gripe,-2,flu
gris,-1,gray
gris,-1,grey
gritado,-2,screamed
gritando,-2,screaming
gritar,-2,scream
grito,-2,outcry
guarida,-1,haunt
Guau,4,wow
guay,1,cool
guerra,-2,war
guerra,-2,warfare
gustó,2,liked
gustos,2,likes
ha fallado,-2,failed
hábil,2,nifty
habilidades,2,abilities
hacer daño,-2,harming
hacer descarrilar,-2,derail
hacha,-1,axe
hackeado,-1,hacked
hahahah,3,hahahah
hambre,-2,hunger
harto,-3,fed up
herir,-2,hurt
hermosa,3,beautiful
hermosamente,3,beautifully
héroe,2,hero
héroes,2,heroes
heroico,3,heroic
hijo de puta,-5,motherfucker
Hijo de puta,-5,son-of-a-bitch
hijos de puta,-4,fuckers
hipócrita,-2,hypocritical
histeria,-3,hysteria
histérico,-3,hysterical
histerismo,-3,hysterics
homenaje,2,honoring
homenaje,2,honouring
honesto,2,honest
honor,2,honor
honor,2,honour
honrado,2,honored
honrado,2,honoured
hooligans,-2,hooligans
horrendo,-3,horrendous
horrendo,-3,horrific
horrible,-3,awful
horrible,-3,direful
horrible,-3,horrible
horrorizado,-3,horrified
hosco,-2,sullen
hostil,-2,hostile
Huelga,-1,strike
huelgas,-1,strikes
humerous,3,humerous
humillación,-3,humiliation
humillado,-3,humiliated
humor,2,humor
humor,2,humour
humorístico,2,humorous
Hurra,5,hurrah
huye,-1,flees
idiota,-3,idiot
idiota,-3,idiotic
idiota,-3,moron
ignora,-1,ignores
ignorado,-2,disregarded
ignorado,-2,ignored
ignorancia,-2,ignorance
ignorante,-2,ignorant
ignorar,-1,ignore
ilegal,-3,illegal
Ilumina,2,enlightens
iluminar,2,enlighten
ilustrado,2,enlightened
imbécil,-3,imbecile
imbécil,-3,jerk
imbécil,-2,mindless
impaciente,-2,impatient
impar,-2,odd
Imparable,2,unstoppable
imparcial,2,unbiased
impedido,-1,prevented
imperfecto,-2,imperfect
impermeable,2,slicker
implacable,-1,relentless
impone,-1,imposes
imponente,-1,imposing
imponer,-1,impose
importancia,2,importance
importante,2,important
importar,1,matter
impotente,-2,impotent
impotente,-2,powerless
impresiona,3,impresses
impresionado,3,impressed
impresionado,-2,unimpressed
impresionante,3,impressive
impresionar,3,impress
impuesto,-1,imposed
impulsado,1,boosted
impulsar,1,boosting
inacción,-2,inaction
inaceptable,-2,unacceptable
inadecuado,-2,inadequate
incapacidad,-2,inability
incapacitado,-2,incapacitated
incapacitante,-1,disabling
incapaz,-2,incapable
incierto,-1,uncertain
incómodo,-2,uncomfortable
incompetencia,-2,incompetence
incompetente,-2,incompetent
incomprendido,-2,misunderstood
inconexo,-2,disjointed
inconfirmado,-1,unconfirmed
inconsciente,-2,unaware
inconveniencia,-2,inconvenience
inconveniente,-2,inconvenient
incorrecto,-2,wrong
incrédulo,-1,unbelieving
increíble,4,awesome
increíble,-1,unbelievable
incrementar,1,increase
incumplida,-2,unfulfilled
indeciso,-2,indecisive
indeciso,-1,undecided
indefenso,-2,defenseless
indefenso,-2,helpless
indeseable,-2,undesirable
indestructible,2,indestructible
indiferencia,-2,disregard
indiferencia,-2,indifference
indiferente,-2,indifferent
indignación,-2,indignation
indignado,-2,incensed
indignado,-2,indignant
indignados,-3,outraged
indigno de,-2,unworthy
indulgente,1,forgiving
indulgente,1,lenient
indultos,2,pardons
ineficaz,-2,ineffective
ineficazmente,-2,ineffectively
inestable,-1,unsettled
inestable,-2,unstable
infantil,-2,childish
infatuación,2,infatuation
infectado,-2,infected
infeliz,-2,unhappy
inferior,-2,inferior
infierno,-4,hell
influyente,2,influential
información errónea,-2,misreporting
infortunio,-2,haplessness
infracción,-2,infringement
infractor,-2,offending
ingenuo,-2,naive
inhibir,-1,inhibit
injusticia,-2,injustice
injusto,-2,unfair
injusto,-2,unjust
inmortal,2,immortal
inmovilizado,-1,immobilized
inmune,1,immune
innova,1,innovates
innovación,1,innovation
innovador,2,innovative
innovar,1,innovate
inquieto,-2,restless
inquisición,-2,inquisition
inquisitivo,2,inquisitive
insalubre,-2,unhealthy
insano,-2,insane
insatisfecho,-2,dissatisfied
insatisfecho,-2,unsatisfied
inseguro,-1,doubting
inseguro,-2,insecure
inseguro,-1,unsure
insensibilidad,-2,insensitivity
insensible,-2,insensitive
insignificante,-2,insignificant
insípido,-2,insipid
insistente,-1,pushy
insomnio,-2,sleeplessness
inspira,2,inspires
inspiración,2,inspiration
Inspirado,2,inspirational
inspirado,2,inspired
inspirador,3,inspiring
inspirar,2,inspire
insultado,-2,insulted
insultante,-2,insulting
insulto,-2,insult
insultos,-2,insults
intacto,2,intact
integridad,2,integrity
inteligente,2,clever
inteligente,2,intelligent
inteligente,1,smart
intenso,1,intense
interesado,2,interested
interesante,2,interesting
interesar,1,interest
intereses,1,interests
interrogado,-2,interrogated
interrogatorio,-1,questioning
interrumpido,-2,interrupted
interrumpiendo,-2,interrupting
interrumpir,-2,interrupt
interrupción,-2,interruption
interrupciones,-2,disruptions
interrupciones,-2,interrupts
intimida,-2,intimidates
intimidación,-2,intimidation
intimidante,-2,intimidating
intimidar,-2,intimidate
intimidar,-2,intimidated
intitulado,1,entitled
intrépido,2,dauntless
intrigas,1,intrigues
intrincado,2,intricate
inútil,-2,useless
inutilidad,-2,uselessness
invencible,2,invincible
invitación,1,invite
invulnerable,2,invulnerable
ironía,-1,irony
irónico,-1,ironic
irracional,-1,irrational
irresistible,2,irresistible
irresoluto,-2,irresolute
irresponsable,2,irresponsible
irreversible,-1,irreversible
irritado,-2,annoyed
irritado,-3,irritated
irritante,-3,irritating
irritante,-2,vexing
irritar,-3,irritate
jackasses,-4,jackasses
jactancioso,-2,boastful
jaja,3,haha
jajaja,3,hahaha
Jesús,1,jesus
jocoso,2,jocular
jovial,2,jovial
joya,1,jewel
joyas,1,jewels
jubiloso,3,exultant
jubiloso,3,gleeful
jubiloso,3,joyous
jubiloso,3,jubilant
juguetón,2,playful
juicio hipotecario,-2,foreclosure
jura,-2,swears
jurar,-2,swear
justa,2,fair
justicia,2,justice
justificadamente,2,justifiably
justificado,2,justified
juvenil,2,youthful
kills,-3,kills
Kinder,2,kinder
la prevención,-1,preventing
la resolución,1,solving
la seguridad,1,safety
ladrón,-2,robber
lag,-2,lagged
lágrimas,-2,tears
lamentable,-3,woeful
lamentando,-2,regretting
lamentar,-2,regret
lamentar,-2,regretted
lánguido,-2,lackadaisical
lanzado,1,launched
lástima,-2,pity
lastimoso,-2,piteous
late,-2,annoys
latoso,-2,annoying
laughting,1,laughting
lavado del cerebro,-3,brainwashing
lavado verde,-3,green wash
lavado verde,-3,green washing
lavado verde,-3,greenwash
lavado verde,-3,greenwashing
lawl,3,lawl
leal,3,loyal
lealtad,3,loyalty
leer mal,-1,misread
legal,1,legal
legalmente,1,legally
lento,-2,sluggish
lesión,-2,injury
lesionado,-2,injured
letárgico,-2,lethargic
letargo,-2,lethargy
libertad,2,freedom
limitación,-1,limitation
limitado,-1,limited
límites,-1,limits
limpiador,2,cleaner
limpiar,2,clean
linda,2,cute
lío,-2,mess
listo,-2,poised
litigio,-1,litigation
litigioso,-2,litigious
lívido,-2,livid
llanto,-2,weeping
llantos,-2,cries
llegar,1,reaching
lleno de alegría,4,overjoyed
lleno de savia,-1,sappy
llorado,-2,cried
llorado,-2,mourned
llorando,-2,crying
llorar,-1,cry
llorar,-2,mourn
llorar,-2,weep
lluvioso,-1,rainy
lmao,4,lmao
lmfao,4,lmfao
lo siento,-1,sorry
loca,-2,crazy
locamente,-3,madly
loco,-2,crazier
locos,-3,lunatics
locura,-2,insanity
Locura,-3,madness
logra,2,accomplishes
lol,3,lol
los spammers,-3,spammers
lovelies,3,lovelies
lucha,-1,fight
lucha,-2,struggle
luchado,-2,struggled
luchando,-2,struggling
luchas,-2,struggles
lúgubre,-2,lugubrious
lunático,-3,lunatic
luto,-2,mourning
maduro,2,mature
magnífico,5,superb
mal,-3,badly
mal,-3,evil
mal comportamiento,-2,misbehaving
mal humor,-2,sulking
mal informado,-2,misinformed
maldición,-1,curse
maldición,-4,damnit
Maldita sea,-4,damn
maldito,-4,damned
maldito,-4,fucking
maldito,-3,goddamn
maldito,-2,pesky
malentendido,-2,misunderstanding
males,-1,mischiefs
malévolo,-2,spiteful
malhumorado,-2,mumpish
malhumorado,-2,sulky
malinterpretado,-2,misinterpreted
malo,-3,bad
malvado,-2,wicked
mancha,2,slick
manifestantes,-2,protesters
manipulación,-1,manipulating
manipulación,-1,manipulation
manipulado,-1,manipulated
maravilla,3,marvel
maravillas,3,marvels
maravilloso,3,marvelous
maravilloso,4,stunning
maravilloso,4,wonderful
mareado,-1,dizzy
mareado,-2,giddy
maricón,-3,fag
maricón,-3,faggot
más baja,-1,lowest
más brillante,2,brightest
más divertido,4,funnier
más duras,-2,harshest
más duro,-2,harsher
más fuerte,2,stronger
más fuerte,2,strongest
más inteligente,2,smarter
más inteligente,2,smartest
más loca,-2,craziest
más oscura,-2,darkest
más pobre,-2,poorer
más pobre,-2,poorest
más resistentes,2,hardier
más sucio,-2,dirtier
más sucio,-2,dirtiest
matar,-3,kill
matón,-2,bully
mayor,3,greater
mayor,3,greatest
me gusta,2,like
meando,-3,pissing
mear,-4,piss
medalla,3,medal
mediocridad,-3,mediocrity
meditativo,1,meditative
mejor,3,best
mejor que,2,better
mejora,2,improvement
mejora,2,improves
mejorado,2,improved
mejorando,2,improving
mejorar,2,improve
melancolía,-2,melancholy
melancólico,-2,gloomy
melancólico,-1,mope
menospreciado,-2,belittled
menospreciado,-2,disparaged
menospreciar,-2,disparage
menosprecie,-2,disparages
mentiroso,-3,liar
mentirosos,-3,liars
mercachifle,-2,huckster
metódico,2,methodical
miedo,-2,fear
miedoso,2,funky
mierda,-4,bullshit
mierda,-3,crap
Mierda,-4,fuck
mierda,-4,shit
milagro,4,miracle
minado,-2,undermined
minando,-2,undermining
mintió,-2,lied
miope,-2,short-sighted
miopía,-2,short-sightedness
mirthfully,3,mirthfully
miserable,-3,miserable
miseria,-2,misery
misericordia,2,mercy
misterioso,-2,eerie
misterioso,-2,eery
mito,-1,myth
moda,-2,fad
molesta,-2,bothers
molestado,-2,bothered
molestar,-2,annoy
molestar,-2,disturb
molestia,-2,annoyance
molestia,-2,bother
molesto,-4,pissed
mongering,-2,mongering
monopoliza,-2,monopolizes
monopolizado,-2,monopolized
monopolizar,-2,monopolize
moping,-1,moping
mordaz,-3,acrimonious
mordaza,-2,gag
morir,-3,die
morir de hambre,-2,starve
motivación,1,motivation
motivado,2,motivated
motivador,2,motivating
motivar,1,motivate
muere de hambre,-2,starves
muerte,-2,death
muerto,-3,dead
multa,2,fine
muriendo de hambre,-2,starving
murió,-3,died
musaraña,-4,shrew
n00b,-2,n00b
natural,1,natural
necesitado,-2,needy
negado,-2,denied
negador,-2,denier
negadores,-2,deniers
negando,-2,denying
negándose,-2,refusing
negar,-2,deny
negatividad,-2,negativity
negativo,-2,negative
negligencia,-2,neglect
negligencias,-2,neglects
negociar,2,bargain
negrita,2,bold
negro,-5,nigger
nervios,-1,nerves
nerviosamente,-2,nervously
nervioso,-2,fidgety
nervioso,-2,flustered
nervioso,-2,nervous
niebla tóxica,-2,smog
niega,-2,denies
Niggas,-5,niggas
no,-1,no
no amable,-2,unlovable
no aprobado,-2,unapproved
no creer,-2,disbelieve
no deseado,-2,unwanted
no es divertido,-3,no fun
no está bien,-2,not good
no funciona,-3,does not work
no funciona,-3,not working
no profesional,-2,unprofessional
no puede soportar,-3,can't stand
no sofisticado,-2,unsophisticated
no te gusta,-2,dont like
noble,2,noble
nostálgico,-2,homesick
notable,2,remarkable
notorio,-2,notorious
novato,-2,noob
novela,2,novel
nubes,-2,troubles
nublada,-1,clouded
nueces,-3,nuts
objeto de dumping,-2,dumped
obligado,1,compelled
obligatorio,-1,mandatory
obliterado,-2,obliterated
obliterar,-2,obliterate
obra maestra,4,masterpiece
obras maestras,4,masterpieces
obsceno,-2,obscene
obsesionado,-2,haunted
obsesionado,2,obsessed
obsesionante,1,haunting
obsoleto,-2,obsolete
obstáculo,-2,hindrance
obstáculo,-2,obstacle
obstáculos,-2,obstacles
obstinado,-2,obstinate
obstinado,-2,stubborn
obstruido,-1,blocked
ocultación,-1,hiding
odiado,-3,hated
odiando,-3,hating
odio,-3,hate
odios,-3,hates
ofende,-2,offends
ofender,-2,offend
ofendido,-2,offended
oferta,2,tender
Ojalá,2,hopefully
OKS,2,oks
olvidadizo,-2,forgetful
olvidado,-1,forgotten
olvidar,-1,forget
ominoso,3,ominous
oportunidad,2,chance
oportunidad,2,opportunity
oportunidades,2,opportunities
opresivo,-2,oppressive
oprimidos,-2,oppressed
optimismo,2,optimism
optimista,2,optimistic
optionless,-2,optionless
ora,1,prays
orar,1,pray
orgullo,2,proudly
orgulloso,2,proud
oscuridad,-1,darkness
oscuridad,-1,gloom
outmaneuvered,-2,outmaneuvered
overreacted,-2,overreacted
overselling,-2,overselling
oversells,-2,oversells
oxímoron,-1,oxymoron
pacífico,2,peaceful
paga,-1,pay
pagado,2,acquitted
paja,-2,blah
paliza,-1,beating
pánico,-3,panic
pánico,-3,panicked
pánicos,-3,panics
parada,-1,stopping
paradas,-1,stops
paradoja,-1,paradox
paraíso,3,paradise
parcial,-2,biased
parcialidad,-1,bias
pardoning,2,pardoning
parlamentar,-1,parley
parodia,-2,travesty
paros,-2,walkouts
parte superior,2,top
partidarios,1,supporters
pasado,-1,worn
pasado por alto,-1,overlooked
pasivamente,-1,passively
pasivo,-1,passive
pasmosamente,3,astoundingly
patético,-2,pathetic
pavor,-2,dread
paz,2,peace
pecaminoso,-3,sinful
pedir disculpas,-1,apologise
pedir disculpas,-1,apologize
peligro,-2,danger
peligro,-2,jeopardy
peligro,-2,peril
pena,-2,penalty
penetración,3,breakthrough
pensativo,-1,pensive
pensativo,2,thoughtful
peor,-3,worse
peor,-3,worst
perdedor,-3,loser
perder,-2,miss
pérdida,-3,loss
perdido,-2,missed
perdiendo,-3,losing
perdió,-3,lost
perdón,2,pardon
perdonado,2,pardoned
perdonar,1,forgive
perezoso,-1,lazy
perfecciona,2,perfects
perfeccionado,2,perfected
perfectamente,3,perfectly
Perfecto,3,perfect
perjudicado,-2,disadvantaged
perjudicado,-2,harmed
perjudicial,-2,harmful
perjurio,-3,perjury
permitir,1,allow
perplejo,-2,perplexed
perplejo,-2,puzzled
perra,-5,bitch
perras,-5,bitches
perseguidos,-2,persecuted
perseguir,-2,persecute
perseguir,-2,persecuting
persigue,-2,persecutes
perspectiva,1,prospect
perspectivas,1,prospects
perturba,-2,disturbs
perturbado,-2,disturbed
perturbado,-2,perturbed
perturbador,-2,disturbing
pesimismo,-2,pessimism
pesimista,-2,pessimistic
pésimo,-2,appalling
petrificado,-2,petrified
picado,-2,piqued
picante,-2,itchy
pierde,-3,looses
pinchazo,-5,prick
pintoresco,2,picturesque
piqué,-2,pique
pistola,-1,gun
Placer,3,pleasure
pobre,-2,poor
pobreza,-1,poverty
poco claro,-1,unclear
poco ético,-2,unethical
poderoso,2,powerful
polémica,-2,controversially
polémico,-2,controversial
polla,-5,cock
polla,-4,dick
popular,3,popular
Por favor,1,please
por suerte,3,luckily
porta mal,-2,misbehaves
portado mal,-2,misbehaved
portarse mal,-2,misbehave
posesivo,-2,possessive
posibilidades,2,chances
positivo,2,positive
pospone,-1,postpones
posponer,-1,postpone
posponiendo,-1,postponing
pospuesto,-1,postponed
prblm,-2,prblm
prblms,-2,prblms
pregonan,-2,touting
premio,3,award
premios,3,awards
preocupación,-3,worry
preocupado,-2,troubled
preocupado,-3,worried
preocupante,-3,worrying
preparado,1,prepared
presar,-2,deject
presión,-1,pressure
presionados,-2,pressured
prestigio,3,kudos
pretendiendo,-1,pretending
prevenido,-2,warned
previene,-1,prevents
prisión,-2,prison
prisionero,-2,prisoner
prisioneros,-2,prisoners
privación,-2,hardship
privar,-2,bereave
privilegiado,2,privileged
proactivo,2,proactive
problema,-2,problem
problema,-2,trouble
problemas,-2,problems
procesado,-2,prosecuted
Progreso,2,progress
prohibición,-2,ban
prohibido,-2,banned
promesa,1,promise
promesas,1,promises
prometido,1,promised
prominente,2,prominent
promocionado,-2,touted
promover,1,promote
promovido,1,promoted
promoviendo,1,promoting
promueve,1,promotes
propaganda,-2,propaganda
próspero,3,prosperous
protege,1,protects
proteger,1,protect
protegido,1,protected
protesta,-2,protest
protestar,-2,protesting
protestas,-2,protests
provoca,-1,provokes
provocado,-1,provoked
provocador,-1,provoking
provocar,-1,provoke
pseudociencia,-3,pseudoscience
puesto,-2,stall
punitivo,-2,punitive
punto de referencia,2,landmark
punto muerto,-2,deadlock
puñalada,-2,stab
puñaladas,-2,stabs
pusilánime,-2,fainthearted
puta,-5,slut
puta,-4,whore
puto,-5,motherfucking
que cae,-1,falling
quejado,-2,complained
quejar,-2,complain
querer,1,want
querido,2,cherished
querido,2,dear
rabia,-2,rage
rabioso,-2,rageful
ración,2,helping
racismo,-3,racism
racista,-3,racist
racistas,-3,racists
ranter,-3,ranter
ranters,-3,ranters
rantes,-3,rants
rápidamente,2,swiftly
rápido,2,swift
raptados,2,raptured
rapto,2,rapture
Rasgado,-2,torn
ratificado,2,ratified
realce,2,highlight
realizable,1,achievable
realizar,2,accomplish
reanimar,2,revive
rebelión,-2,rebellion
recelo,-2,misgiving
recesión,-2,recession
rechaza,-1,rejects
rechazado,-2,refused
rechazado,-1,rejected
rechazando,-1,rejecting
rechazar,-1,reject
rechazar,-1,repulse
recomendado,2,recommended
recomendar,2,recommend
recomienda,2,recommends
recompensa,2,reward
recompensado,2,rewarded
recompensas,2,rewards
recortado,-2,slashed
recortes,-1,cuts
redimido,2,redeemed
refugios,-1,haunts
regalo,2,gift
regaño,-2,scold
regate,-2,dodging
regocija,3,exhilarates
regocija,4,rejoices
regocijado,3,exhilarated
regocijado,4,rejoiced
reivindica,2,vindicates
reivindicando,2,vindicating
relajado,2,relaxed
relieves,1,relieves
remordimiento,-2,remorse
renuncia,-1,resigns
Renunciar,-1,resign
renunciar,-1,resigning
repelido,-2,repulsed
rescatada,2,rescued
rescate,-2,bailout
rescate,2,rescue
rescates,2,rescues
resentido,-2,resentful
residuos,-1,waste
resignado,-1,resigned
resistente,2,hardy
resolver,2,resolve
resolver,2,resolving
resolver,1,solve
respalda,2,endorses
Respaldados,1,backed
respetado,2,respected
responsable,2,responsible
restauración,1,restoring
restauraciones,1,restores
restaurada,1,restored
restaurar,1,restore
restos,-2,ruins
restricción,-2,restriction
restringe,-2,restricts
restringido,-2,restricted
restringiendo,-2,restricting
restringir,-2,restrict
resuelto,2,resolute
resuelto,2,resolved
resuelto,1,solved
resuelve,2,resolves
resuelve,1,solves
retardar,-2,retard
retenido,-1,retained
retirada,-1,retreat
retirada,-2,walkout
retirada,-3,withdrawal
reto,-1,challenge
retozón,2,frisky
retrasado,-1,delayed
retrasado,-2,retarded
retrasar,-1,delay
retraso,-1,lag
revendedor,-2,tout
revendedores,-2,touts
reverenciado,2,revered
revive,2,revives
rezagado,-2,lagging
rezar,1,praying
Rico,2,rich
rico,2,wealthy
ridiculiza,-2,derides
ridiculizado,-2,derided
ridiculizar,-2,deride
ridículo,-3,ridiculous
riesgo,-2,risk
riesgos,-2,risks
rigurosamente,3,rigorously
riguroso,3,rigorous
riqueza,3,wealth
risa,1,laugh
risa,1,laughing
risas,1,laughs
robado,-2,stolen
robar,-2,rob
robar,-2,steal
robing,-2,robing
robos,-2,steals
robs,-2,robs
robusto,2,robust
rofl,4,rofl
roflcopter,4,roflcopter
roflmao,4,roflmao
romance,2,romance
rompió,-1,broke
rotfl,4,rotfl
rotflmfao,4,rotflmfao
ROTFLOL,4,rotflol
roto,-1,broken
rudo,-3,badass
ruidoso,-1,noisy
ruina,-2,ruin
ruina,-2,wreck
ruptura,-2,disruption
saboreando,2,relishing
sabotaje,-2,sabotage
sabroso,3,yummy
saliente,1,salient
saluda,1,greets
saludable,2,healthy
saludado,1,greeted
saludar,1,greet
saludo,1,greeting
saludos,2,greetings
salvado,2,saved
salvador de la vida,4,lifesaver
salvar,2,save
sangriento,-3,bloody
sarcástico,-2,sarcastic
satisfecho,3,pleased
satisfecho,2,satisfied
se ahoga,-2,drowns
se avecina,-1,looming
se compromete,1,commits
se degrada,-2,degrades
se disculpa,-1,apologises
se disculpa,-1,apologizes
se esconde,-1,hides
se esconde,-1,lurks
se extiende,1,extends
se queja,-2,complains
Se rió,1,laughed
secuestrado,-2,abducted
secuestro,-2,abduction
secuestros,-2,abductions
secundario,1,supporting
sedición,-2,sedition
sedicioso,-2,seditious
seducir,-1,seduced
seguidor,1,supporter
seguro,1,safe
seguro,2,secure
seguro de sí mismo,2,self-confident
sensación,1,feeling
sensible,2,responsive
sentencia,-2,sentencing
sentido,3,heartfelt
separado,-1,detached
sereno,2,serene
serio,2,earnest
servicial,2,helpful
sexy,3,sexy
shamed,-2,shamed
sí,1,yeah
sí,1,yes
significado,1,significance
significativo,2,meaningful
significativo,1,significant
silenciamiento,-1,silencing
simpatía,2,sympathy
simpático,2,sympathetic
simplificada,-2,oversimplified
simplificar demasiado,-2,oversimplify
sin acreditar,-1,uncredited
sin amor,-2,unloved
sin ánimo,-2,spiritless
sin apoyo,-2,unsupported
sin dientes,-2,toothless
sin encanto,-3,charmless
sin esperanza,-2,hopeless
sin garantía,-2,unsecured
sin igual,2,unequaled
sin inteligencia,-2,unintelligent
sin par,1,unmatched
sin peligro,1,safely
sin sentido,-2,meaningless
sin tacha,2,untarnished
sin valor,-2,worthless
sincera,2,sincerest
sinceramente,2,sincerely
sinceridad,2,sincerity
sincero,2,sincere
singleminded,-2,singleminded
slickest,2,slickest
Smiled,2,smiled
snubbing,-2,snubbing
soborno,-3,bribe
sobrecarga,-1,overload
sobrecargar,-2,burdening
sobrereacciona,-2,overreacts
sobrereaccionar,-2,overreact
sobrerreacción,-2,overreaction
sobresimplifica,-2,oversimplifies
sobresimplificación,-2,oversimplification
sobreviviente,2,surviving
sobreviviente,2,survivor
sobrevivió,2,survived
socava,-2,undermines
socavar,-2,undermine
sofisticado,2,sophisticated
sofocado,-1,stifled
sol,2,sunshine
solemne,-1,solemn
solidaridad,2,solidarity
sólido,2,solid
solitario,-2,lonely
solitario,-2,lonesome
solo,-2,alone
soltar,-1,drop
solución,1,solution
soluciones,1,solutions
sombrío,-2,glum
sombrío,-2,somber
sonreír,2,smile
sonriente,2,smiling
sonrisas,2,smiles
soportado,2,supported
soportes,2,supports
sorprende,2,amazes
sorprendido,-2,startled
sosegado,2,restful
sospecha,-1,suspected
sospechando,-1,suspecting
sospechar,-1,suspect
sospechosos,-1,suspects
spammer,-3,spammer
squelched,-1,squelched
subestimaciones,-1,underestimates
subestimado,-1,underestimated
subestimar,-1,underestimate
subsidios,1,grants
subversivo,-2,subversive
suciedad,-2,dirt
sucio,-2,dirty
suelto,-3,loose
sueño,1,dream
Sueños,1,dreams
suerte,3,luck
suerte,3,lucky
suficiente,-2,complacent
sufre,-2,suffers
sufrimiento,-2,suffering
sufrir,-2,suffer
suicida,-2,suicidal
suicidio,-2,suicide
súper,3,super
superar a,2,outreach
superior,2,superior
suspender,-1,suspend
suspendido,-1,suspended
suspicaz,-2,suspicious
suspiro,-2,sigh
sustancial,1,substantial
sustancialmente,1,substantially
susto,-2,fright
susto,-2,scare
tacaño,-2,stingy
tapas,2,tops
tard,-2,tard
tedio,-2,ennui
telar,-1,loom
telares,-1,looms
temblante,-2,quaking
temblor,-2,trembling
tembloroso,-2,shaky
temerario,2,daredevil
temerario,-2,reckless
temeroso,-2,fearful
temible,-2,fearsome
temido,-2,dreaded
temiendo,-2,dreading
temiendo,-2,fearing
temperamental,-1,moody
tensión,-1,tension
tenso,-2,uptight
tergiversación,-2,misrepresentation
terrible,-3,dire
terrible,-3,dreadful
terrible,-3,terrible
terriblemente,-3,terribly
terror,-3,terror
tesoro,2,treasure
tesoros,2,treasures
tetas,-2,tits
tiempo,-2,tense
tímido,-2,diffident
tímido,-1,shy
tímido,-2,timid
timorato,-2,timorous
tipo,2,kind
tolerante,2,tolerant
toma de posesión,-2,swearing
tonto,-3,dumb
tonto,-2,fool
tonto,-2,foolish
tonto,-1,silly
tontos,-2,fools
torpe,-2,awkward
tortura,-4,torture
tortura,-4,torturing
torturado,-4,tortured
torturas,-4,tortures
totalitario,-2,totalitarian
totalitarismo,-2,totalitarianism
tragedia,-2,tragedy
trágico,-2,tragic
tragona,-5,cocksucker
traición,-3,betrayal
traición,-3,treason
traiciona,-3,betrays
traicionado,-3,betrayed
traicionar,-3,betray
traicionero,-3,betraying
tramado,-2,dithering
trampa,-1,trap
tramposo,-3,cheater
tramposos,-3,cheaters
tramposos,-3,cheats
tranquiliza,1,reassures
tranquilizado,1,reassured
tranquilizador,2,reassuring
tranquilizar,1,reassure
tranquilo,2,tranquil
trapacero,-3,swindling
trastornado,-2,upset
trastornador,-2,upsetting
trastorno,-2,disorder
trastornos,-2,upsets
trauma,-3,trauma
traumático,-3,traumatic
travesura,-1,mischief
treasonous,-3,treasonous
trémulo,-2,tremulous
triste,-2,cheerless
triste,-2,dismal
triste,-2,dreary
triste,-2,joyless
triste,-2,mournful
triste,-2,sad
triste,-2,sorrowful
tristemente,-2,sadly
triunfante,4,triumphant
triunfo,4,triumph
tugurio,-1,dump
tumba,-2,grave
tumor,-2,tumor
túnica,-2,robed
una vez en la vida,3,once-in-a-lifetime
unido,1,united
unificada,1,unified
unirse,1,join
unresearched,-2,unresearched
urgente,-1,urgent
útil,2,useful
utilidad,2,usefulness
vacilante,-2,hesitant
vacilante,-1,wavering
vacilar,-2,hesitate
vacío,-1,emptiness
vacío,-1,empty
vago,-2,vague
valida,1,validates
validado,1,validated
validar,1,validate
validar,1,validating
valiente,2,brave
valiente,2,courageous
valientemente,2,boldly
valor,2,courage
valor,2,worth
vano,-2,wasted
vejación,-2,vexation
vencido,-2,beaten
veneno,-2,poison
venenos,-2,poisons
venganza,-2,revenge
vengativo,-2,revengeful
ventaja,2,advantage
ventajas,2,advantages
ventilador,3,fan
veredicto,-1,verdict
veredictos,-1,verdicts
vergonzoso,-2,shameful
vergüenza,-2,embarrassment
vergüenza,-2,shame
vestíbulo,-2,lobby
vibrante,3,vibrant
vicioso,-2,vicious
víctima,-2,casualty
víctima,-3,victim
víctimas,-3,victimized
víctimas,-3,victims
víctimas mortales,-3,fatalities
victimiza,-3,victimizes
victimizadora,-3,victimizing
victimizar,-3,victimize
victorias,4,wins
victorioso,4,winning
vigilante,3,vigilant
vil,-3,vile
vindicado,2,vindicated
vindicar,2,vindicate
viola,-2,violates
violación,-4,rape
violado,-2,violated
violador,-4,rapist
violar,-2,violate
violar,-2,violating
violencia,-3,violence
violento,-3,violent
virtuoso,2,virtuous
